kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c3139	Calmodulin OS=Renilla reniformis OX=6136 PE=1 SV=2 E(blastx)=8e-14
kb8_c9998	ERI1 exoribonuclease 3 OS=Bos taurus OX=9913 GN=ERI3 PE=2 SV=1 E(blastx)=2e-34
kb8_rep_c19363	U2 small nuclear ribonucleoprotein A' OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=lea-1 PE=3 SV=1 E(blastx)=5e-09
kb8_rep_c22540	Desumoylating isopeptidase 1 OS=Xenopus laevis OX=8355 GN=desi1 PE=2 SV=1 E(blastx)=9e-06
kb8_c32853	Arylsulfatase B OS=Felis catus OX=9685 GN=ARSB PE=2 SV=1 E(blastx)=9e-21
kb8_c29652	Calmodulin-3 OS=Oryza sativa subsp. japonica OX=39947 GN=CAM3 PE=2 SV=1 E(blastx)=1e-05
kb8_s60706	Transmembrane protein 65 OS=Homo sapiens OX=9606 GN=TMEM65 PE=1 SV=2 E(blastx)=7e-16
kb8_c28623	Probable E3 ubiquitin-protein ligase HERC3 OS=Homo sapiens OX=9606 GN=HERC3 PE=1 SV=1 E(blastx)=5e-27
kb8_c24237	Protein dispatched homolog 3 OS=Homo sapiens OX=9606 GN=DISP3 PE=2 SV=2 E(blastx)=2e-28
kb8_rep_c15481	Peptidyl-prolyl cis-trans isomerase D OS=Bos taurus OX=9913 GN=PPID PE=1 SV=6 E(blastx)=7e-08
kb8_rep_c9192	Ubiquitin OS=Coprinellus congregatus OX=5347 PE=1 SV=1 E(blastx)=8e-43
kb8_s64601	Flavodoxin OS=Chondrus crispus OX=2769 PE=1 SV=1 E(blastx)=9e-12
kb8_c37665	Probable inactive glycosyltransferase 25 family member 3 OS=Bos taurus OX=9913 GN=CERCAM PE=2 SV=1 E(blastx)=5e-40
kb8_c42351	Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3 E(blastx)=2e-09
kb8_rep_c6248	Glutamine synthetase OS=Colletotrichum gloeosporioides OX=474922 GN=GLN1 PE=3 SV=1 E(blastx)=8e-128
kb8_rep_c13356	Probable transport protein YPL264C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPL264C PE=1 SV=1 E(blastx)=8e-25
kb8_rep_c2550	Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Spinacia oleracea OX=3562 PE=2 SV=1 E(blastx)=7e-98
kb8_s59569	Gamma-glutamyl phosphate reductase OS=Pelotomaculum thermopropionicum (strain DSM 13744 / JCM 10971 / SI) OX=370438 GN=proA PE=3 SV=1 E(blastx)=2e-39
kb8_c10403	Cytochrome b5 isoform E OS=Arabidopsis thaliana OX=3702 GN=CYTB5-E PE=1 SV=2 E(blastx)=4e-16
kb8_rep_c12961	Alpha-latrocrustotoxin-Lt1a (Fragment) OS=Latrodectus tredecimguttatus OX=6925 PE=2 SV=2 E(blastx)=6e-08
kb8_s56744	Photosystem I P700 chlorophyll a apoprotein A2 OS=Cyanidioschyzon merolae (strain 10D) OX=280699 GN=psaB PE=1 SV=1 E(blastx)=2e-13
kb8_rep_c52197	Photosystem I P700 chlorophyll a apoprotein A1 OS=Heterocapsa triquetra OX=66468 GN=psaA PE=3 SV=1 E(blastx)=7e-54
kb8_c12346	Zinc finger CCCH domain-containing protein 10 OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0738400 PE=2 SV=1 E(blastx)=1e-13
kb8_s67553	60 kDa chaperonin OS=Oenococcus oeni (strain ATCC BAA-331 / PSU-1) OX=203123 GN=groL PE=3 SV=1 E(blastx)=2e-20
kb8_c18332	Putative ammonium transporter sll0108 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0108 PE=3 SV=1 E(blastx)=4e-40
kb8_s57129	Calcium-dependent protein kinase 29 OS=Arabidopsis thaliana OX=3702 GN=CPK29 PE=2 SV=2 E(blastx)=6e-13
kb8_c16257	mRNA transport homolog 4 OS=Caenorhabditis elegans OX=6239 GN=mtr-4 PE=3 SV=1 E(blastx)=3e-67
kb8_rep_c4807	Endonuclease MutS2 OS=Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901) OX=246194 GN=mutS2 PE=3 SV=1 E(blastx)=2e-55
kb8_c37803	Cortactin-binding protein 2 OS=Oryctolagus cuniculus OX=9986 GN=CTTNBP2 PE=3 SV=1 E(blastx)=2e-07
kb8_c22785	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2 OS=Arabidopsis thaliana OX=3702 GN=MRF2 PE=1 SV=1 E(blastx)=2e-09
kb8_c33571	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=2e-05
kb8_rep_c58627	Zinc finger CCCH domain-containing protein 4 OS=Arabidopsis thaliana OX=3702 GN=At1g07360 PE=1 SV=1 E(blastx)=1e-40
kb8_rep_c2102	Coiled-coil domain-containing protein 113 OS=Mus musculus OX=10090 GN=Ccdc113 PE=2 SV=1 E(blastx)=1e-35
kb8_rep_c2477	Sodium channel protein type 3 subunit alpha OS=Mus musculus OX=10090 GN=Scn3a PE=1 SV=1 E(blastx)=9e-08
kb8_c9901	BolA-like protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BOL3 PE=1 SV=1 E(blastx)=5e-11
kb8_rep_c21151	1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSC2 PE=1 SV=2 E(blastx)=3e-15
kb8_s63358	Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 E(blastx)=4e-09
kb8_c29294	Probable aldehyde oxidase 3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0790700 PE=2 SV=1 E(blastx)=1e-39
kb8_c39950	Probable phospholipid-transporting ATPase C887.12 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC887.12 PE=3 SV=1 E(blastx)=6e-37
kb8_rep_c51689	Actin OS=Toxoplasma gondii OX=5811 GN=ACT1 PE=3 SV=1 E(blastx)=2e-166
kb8_s70948	Pumilio homolog 3 OS=Arabidopsis thaliana OX=3702 GN=APUM3 PE=1 SV=1 E(blastx)=8e-11
kb8_rep_c6285	DNA annealing helicase and endonuclease ZRANB3 OS=Homo sapiens OX=9606 GN=ZRANB3 PE=1 SV=2 E(blastx)=2e-74
kb8_rep_c826	Dynamin-like protein C OS=Dictyostelium discoideum OX=44689 GN=dlpC PE=2 SV=2 E(blastx)=9e-26
kb8_c34656	Probable beta-1,4-xylosyltransferase IRX10L OS=Arabidopsis thaliana OX=3702 GN=IRX10L PE=2 SV=1 E(blastx)=5e-09
kb8_s69281	Ribosome-binding ATPase YchF OS=Haemophilus ducreyi (strain 35000HP / ATCC 700724) OX=233412 GN=ychF PE=3 SV=3 E(blastx)=1e-29
kb8_c18339	Sel1-repeat-containing protein YbeQ OS=Escherichia coli (strain K12) OX=83333 GN=ybeQ PE=4 SV=2 E(blastx)=7e-18
kb8_s58050	Triosephosphate isomerase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=TPI1 PE=1 SV=3 E(blastx)=6e-21
kb8_c15224	Ubiquitin carboxyl-terminal hydrolase 32 OS=Homo sapiens OX=9606 GN=USP32 PE=1 SV=1 E(blastx)=4e-69
kb8_c47493	Insulin-degrading enzyme OS=Bos taurus OX=9913 GN=IDE PE=2 SV=1 E(blastx)=9e-09
kb8_c34570	Glutathione gamma-glutamylcysteinyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC3H1.10 PE=2 SV=1 E(blastx)=2e-11
kb8_rep_c21420	Lombricine kinase OS=Eisenia fetida OX=6396 PE=1 SV=1 E(blastx)=3e-44
kb8_s67414	Diacylglycerol O-acyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=DGAT2 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c3114	Mitochondrial chaperone BCS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BCS1 PE=1 SV=2 E(blastx)=3e-51
kb8_rep_c839	Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1 E(blastx)=1e-147
kb8_c20846	Serine/threonine-protein kinase PkaA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=pkaA PE=3 SV=1 E(blastx)=3e-14
kb8_c43145	U3 small nucleolar RNA-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP13 PE=1 SV=1 E(blastx)=4e-08
kb8_c30410	Probable UDP-glucose:glycoprotein glucosyltransferase A OS=Dictyostelium discoideum OX=44689 GN=ggtA PE=1 SV=2 E(blastx)=3e-147
kb8_rep_c7962	ATP synthase epsilon chain, chloroplastic OS=Pyropia yezoensis OX=2788 GN=atpE PE=3 SV=1 E(blastx)=8e-41
kb8_rep_c2283	Phosphatidylinositol 4-phosphate 5-kinase 4 OS=Arabidopsis thaliana OX=3702 GN=PIP5K4 PE=4 SV=1 E(blastx)=2e-31
kb8_rep_c60836	Polyadenylate-binding protein RBP45 OS=Nicotiana plumbaginifolia OX=4092 GN=RBP45 PE=1 SV=1 E(blastx)=1e-05
kb8_rep_c8271	Major basic nuclear protein 2 OS=Crypthecodinium cohnii OX=2866 GN=HCc2 PE=4 SV=1 E(blastx)=2e-11
kb8_c24672	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CPK2 PE=2 SV=3 E(blastx)=1e-59
kb8_rep_c11895	Ubiquitin thioesterase OTU1 OS=Danio rerio OX=7955 GN=yod1 PE=2 SV=1 E(blastx)=3e-18
kb8_c15597	High-affinity nickel transport protein OS=Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) OX=381666 GN=hoxN PE=1 SV=3 E(blastx)=2e-41
kb8_rep_c25677	Calcium/calmodulin-dependent protein kinase type II delta 1 chain OS=Danio rerio OX=7955 GN=camk2d1 PE=2 SV=2 E(blastx)=3e-22
kb8_c17326	Hydrocephalus-inducing protein homolog OS=Homo sapiens OX=9606 GN=HYDIN PE=1 SV=3 E(blastx)=6e-62
kb8_rep_c43440	60S ribosomal protein L26 OS=Littorina littorea OX=31216 GN=RPL26 PE=2 SV=1 E(blastx)=3e-48
kb8_c24555	Probable GTP diphosphokinase CRSH3, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=CRSH3 PE=2 SV=1 E(blastx)=5e-17
kb8_c14108	U-box domain-containing protein 8 OS=Arabidopsis thaliana OX=3702 GN=PUB8 PE=2 SV=1 E(blastx)=7e-06
kb8_rep_c6784	RWD domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rwdd1 PE=1 SV=1 E(blastx)=5e-07
kb8_rep_c15204	Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPF1 PE=1 SV=1 E(blastx)=8e-33
kb8_rep_c11424	Amiloride-sensitive amine oxidase [copper-containing] OS=Mus musculus OX=10090 GN=Aoc1 PE=2 SV=1 E(blastx)=5e-12
kb8_rep_c6442	Probable protein phosphatase 2C 73 OS=Arabidopsis thaliana OX=3702 GN=PPC6-7 PE=2 SV=1 E(blastx)=4e-29
kb8_c34408	Biotin--[acetyl-CoA-carboxylase] ligase OS=Paracoccus denitrificans OX=266 GN=birA PE=3 SV=1 E(blastx)=2e-11
kb8_s55522	ABC transporter E family member 2 OS=Arabidopsis thaliana OX=3702 GN=ABCE2 PE=2 SV=1 E(blastx)=5e-48
kb8_c6098	Methylsterol monooxygenase 1 OS=Pongo abelii OX=9601 GN=MSMO1 PE=2 SV=1 E(blastx)=3e-06
kb8_c13387	AI-2 transport protein TqsA OS=Shigella flexneri OX=623 GN=tqsA PE=3 SV=1 E(blastx)=6e-05
kb8_rep_c31467	Chaperone protein DnaJ OS=Teredinibacter turnerae (strain ATCC 39867 / T7901) OX=377629 GN=dnaJ PE=3 SV=1 E(blastx)=6e-16
kb8_c10352	NEDD8 OS=Oryctolagus cuniculus OX=9986 GN=NEDD8 PE=3 SV=1 E(blastx)=3e-05
kb8_s55927	Chaperone protein dnaK2 OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=dnaK2 PE=3 SV=1 E(blastx)=3e-75
kb8_s53432	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic OS=Arabidopsis thaliana OX=3702 GN=SBE3 PE=1 SV=1 E(blastx)=1e-17
kb8_s54725	Mitogen-activated protein kinase 1 OS=Pneumocystis carinii OX=4754 GN=MKP1 PE=1 SV=1 E(blastx)=4e-12
kb8_rep_c12244	Acyl-CoA dehydrogenase family member 11 OS=Gallus gallus OX=9031 GN=ACAD11 PE=2 SV=1 E(blastx)=1e-75
kb8_c33883	Molybdopterin biosynthesis protein CNX1 OS=Arabidopsis thaliana OX=3702 GN=CNX1 PE=1 SV=2 E(blastx)=9e-21
kb8_c11793	Alpha/beta hydrolase domain-containing protein aho-3 OS=Caenorhabditis elegans OX=6239 GN=aho-3 PE=1 SV=2 E(blastx)=1e-17
kb8_c37101	Acyltransferase-like protein At1g54570, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g54570 PE=1 SV=1 E(blastx)=2e-16
kb8_rep_c53145	Calmodulin OS=Prorocentrum minimum OX=39449 PE=2 SV=1 E(blastx)=4e-101
kb8_rep_c25370	Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Isochrysis galbana OX=37099 GN=FCP PE=1 SV=1 E(blastx)=1e-07
kb8_rep_c55192	RAP domain-containing protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RAP PE=1 SV=1 E(blastx)=4e-05
kb8_rep_c1415	Kinetochore protein NDC80 homolog OS=Xenopus tropicalis OX=8364 GN=ndc80 PE=2 SV=1 E(blastx)=1e-34
kb8_rep_c42324	Exoglucanase 1 OS=Phanerochaete chrysosporium OX=5306 GN=CBH1 PE=2 SV=1 E(blastx)=4e-25
kb8_c33384	Mitochondrial import receptor subunit TOM34 OS=Rattus norvegicus OX=10116 GN=Tomm34 PE=1 SV=1 E(blastx)=3e-11
kb8_rep_c7042	DAR GTPase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DGP3 PE=2 SV=1 E(blastx)=1e-40
kb8_s62674	Endoplasmic reticulum chaperone BiP OS=Pichia angusta OX=870730 GN=BiP PE=3 SV=1 E(blastx)=2e-39
kb8_c21356	Serine/threonine-protein kinase 33 OS=Bos taurus OX=9913 GN=STK33 PE=2 SV=1 E(blastx)=1e-05
kb8_c20470	Transient receptor potential cation channel subfamily M member 2 OS=Mus musculus OX=10090 GN=Trpm2 PE=1 SV=2 E(blastx)=1e-14
kb8_c17824	ADP-ribosylarginine hydrolase Tri1 OS=Pseudomonas putida (strain DSM 28064 / B6-2) OX=1081940 GN=tri1 PE=3 SV=1 E(blastx)=2e-18
kb8_rep_c12696	Beta-glucan synthesis-associated protein KRE6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE6 PE=1 SV=2 E(blastx)=1e-32
kb8_c25984	Ribosomal RNA small subunit methyltransferase B OS=Enterobacter sp. (strain 638) OX=399742 GN=rsmB PE=3 SV=1 E(blastx)=1e-11
kb8_rep_c21195	60S ribosomal protein L12 (Fragment) OS=Chlamydomonas reinhardtii OX=3055 GN=RPL12 PE=2 SV=1 E(blastx)=6e-18
kb8_s71148	Dynein heavy chain 1, axonemal OS=Homo sapiens OX=9606 GN=DNAH1 PE=1 SV=5 E(blastx)=5e-17
kb8_c27316	Probable D-lactate dehydrogenase, mitochondrial OS=Danio rerio OX=7955 GN=ldhd PE=2 SV=1 E(blastx)=7e-52
kb8_c28062	Putative beta-lactamase HcpC OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=hcpC PE=3 SV=1 E(blastx)=3e-10
kb8_c45027	Ankyrin repeat domain-containing protein 29 OS=Homo sapiens OX=9606 GN=ANKRD29 PE=1 SV=2 E(blastx)=3e-21
kb8_c41288	Ethionine resistance-conferring protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERC1 PE=1 SV=1 E(blastx)=2e-09
kb8_s65881	Probable serine/threonine-protein kinase DDB_G0267514 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0267514 PE=3 SV=1 E(blastx)=4e-13
kb8_c22377	DNA annealing helicase and endonuclease ZRANB3 OS=Bos taurus OX=9913 GN=ZRANB3 PE=3 SV=3 E(blastx)=2e-18
kb8_rep_c13317	Metallophosphoesterase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MPPED1 PE=1 SV=3 E(blastx)=5e-16
kb8_c48356	Pentatricopeptide repeat-containing protein At3g18110, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=EMB1270 PE=2 SV=2 E(blastx)=4e-07
kb8_rep_c1086	Heme-degrading monooxygenase HmoB OS=Bacillus subtilis (strain 168) OX=224308 GN=hmoB PE=1 SV=1 E(blastx)=7e-05
kb8_rep_c1643	CTD small phosphatase-like protein 2 OS=Xenopus tropicalis OX=8364 GN=ctdspl2 PE=2 SV=1 E(blastx)=2e-37
kb8_s53225	Endoplasmin homolog OS=Arabidopsis thaliana OX=3702 GN=HSP90-7 PE=1 SV=1 E(blastx)=1e-09
kb8_c16394	cGMP-dependent protein kinase egl-4 OS=Caenorhabditis briggsae OX=6238 GN=egl-4 PE=3 SV=2 E(blastx)=4e-41
kb8_rep_c56558	Sodium-driven chloride bicarbonate exchanger OS=Rattus norvegicus OX=10116 GN=Slc4a10 PE=1 SV=1 E(blastx)=1e-35
kb8_rep_c1526	Elongation factor P OS=Mycolicibacterium paratuberculosis (strain ATCC BAA-968 / K-10) OX=262316 GN=efp PE=3 SV=1 E(blastx)=1e-11
kb8_rep_c56174	NADH-cytochrome b5 reductase 2 OS=Danio rerio OX=7955 GN=cyb5r2 PE=2 SV=2 E(blastx)=4e-35
kb8_s55199	Ammonium transporter 2 OS=Dictyostelium discoideum OX=44689 GN=amtB PE=1 SV=1 E(blastx)=6e-18
kb8_c42173	Exosome complex component CSL4 OS=Mus musculus OX=10090 GN=Exosc1 PE=1 SV=1 E(blastx)=5e-22
kb8_c7983	ADP-ribosylation factor-like protein 6 OS=Homo sapiens OX=9606 GN=ARL6 PE=1 SV=1 E(blastx)=5e-52
kb8_c35548	Succinate dehydrogenase assembly factor 2, mitochondrial OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=CAGL0I08085g PE=3 SV=1 E(blastx)=2e-07
kb8_c17235	DeSI-like protein At4g17486 OS=Arabidopsis thaliana OX=3702 GN=At4g17486 PE=2 SV=1 E(blastx)=6e-10
kb8_c38227	Mitochondrial import inner membrane translocase subunit tim44 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tim44 PE=3 SV=1 E(blastx)=2e-11
kb8_rep_c31290	Putative metal chaperone YciC OS=Bacillus subtilis (strain 168) OX=224308 GN=yciC PE=2 SV=1 E(blastx)=7e-23
kb8_c9553	Spondin-1 OS=Bos taurus OX=9913 GN=SPON1 PE=1 SV=1 E(blastx)=2e-33
kb8_c13968	Cathepsin B-like cysteine proteinase 6 OS=Caenorhabditis elegans OX=6239 GN=cpr-6 PE=1 SV=1 E(blastx)=9e-66
kb8_rep_c9408	Calcyclin-binding protein OS=Rattus norvegicus OX=10116 GN=Cacybp PE=1 SV=1 E(blastx)=4e-07
kb8_s62634	Chaperone protein DnaJ OS=Symbiobacterium thermophilum (strain T / IAM 14863) OX=292459 GN=dnaJ PE=3 SV=1 E(blastx)=5e-08
kb8_c9689	Dihydropteridine reductase OS=Dictyostelium discoideum OX=44689 GN=qdpr PE=1 SV=1 E(blastx)=1e-22
kb8_s71929	Kinesin-like protein KIF3A OS=Mus musculus OX=10090 GN=Kif3a PE=1 SV=2 E(blastx)=3e-19
kb8_rep_c57017	Calreticulin OS=Cricetulus griseus OX=10029 GN=CALR PE=1 SV=1 E(blastx)=2e-41
kb8_rep_c14	60S ribosomal protein L7-3 OS=Arabidopsis thaliana OX=3702 GN=RPL7C PE=2 SV=1 E(blastx)=4e-74
kb8_c27060	Ankyrin repeat, PH and SEC7 domain containing protein secG OS=Dictyostelium discoideum OX=44689 GN=secG PE=2 SV=1 E(blastx)=3e-16
kb8_rep_c3885	Photosystem II CP47 reaction center protein OS=Cyanophora paradoxa OX=2762 GN=psbB PE=3 SV=1 E(blastx)=1e-17
kb8_rep_c2891	ADP-ribosylation factor OS=Vigna unguiculata OX=3917 GN=ARF PE=2 SV=3 E(blastx)=6e-110
kb8_c40035	Amino-acid acetyltransferase OS=Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081) OX=393305 GN=argA PE=3 SV=1 E(blastx)=3e-18
kb8_c21325	ER lumen protein-retaining receptor 3 OS=Mus musculus OX=10090 GN=Kdelr3 PE=1 SV=1 E(blastx)=3e-06
kb8_s58365	Charged multivesicular body protein 3 OS=Xenopus laevis OX=8355 GN=chmp3 PE=2 SV=3 E(blastx)=3e-08
kb8_c24662	Tubulin glycylase 3E OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=TTLL3E PE=3 SV=1 E(blastx)=8e-40
kb8_c19413	Voltage-dependent T-type calcium channel subunit alpha-1H OS=Mus musculus OX=10090 GN=Cacna1h PE=1 SV=3 E(blastx)=3e-10
kb8_rep_c11088	GTP-binding protein BRASSINAZOLE INSENSITIVE PALE GREEN 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BPG2 PE=1 SV=1 E(blastx)=9e-32
kb8_c15582	Protein mono-ADP-ribosyltransferase PARP14 OS=Homo sapiens OX=9606 GN=PARP14 PE=1 SV=3 E(blastx)=6e-08
kb8_c55321	5-methylthioadenosine/S-adenosylhomocysteine deaminase OS=Clostridium tetani (strain Massachusetts / E88) OX=212717 GN=mtaD PE=3 SV=2 E(blastx)=1e-05
kb8_rep_c1199	Protein S-acyltransferase 21 OS=Arabidopsis thaliana OX=3702 GN=PAT21 PE=2 SV=1 E(blastx)=3e-15
kb8_c16943	Guanosine-diphosphatase OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=GDA1 PE=3 SV=1 E(blastx)=2e-32
kb8_c43717	Probable xylitol oxidase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=xyoA PE=1 SV=1 E(blastx)=2e-30
kb8_rep_c24670	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5 E(blastx)=9e-64
kb8_c51072	DNA-dependent metalloprotease WSS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=WSS1 PE=1 SV=1 E(blastx)=3e-06
kb8_c5544	E3 ubiquitin-protein ligase MARCHF7 OS=Homo sapiens OX=9606 GN=MARCHF7 PE=1 SV=1 E(blastx)=1e-08
kb8_c45621	Thiamine-phosphate synthase OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=thiE PE=3 SV=2 E(blastx)=1e-30
kb8_c41844	Non-heme chloroperoxidase OS=Pseudomonas fluorescens OX=294 GN=cpo PE=1 SV=3 E(blastx)=2e-05
kb8_rep_c14337	cAMP-dependent protein kinase type II regulatory subunit OS=Strongylocentrotus purpuratus OX=7668 PE=2 SV=1 E(blastx)=3e-08
kb8_rep_c44944	ADP-ribosylation factor-like protein 5A OS=Homo sapiens OX=9606 GN=ARL5A PE=1 SV=1 E(blastx)=1e-24
kb8_s60540	Pentatricopeptide repeat-containing protein At4g19440, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g19440 PE=2 SV=2 E(blastx)=4e-06
kb8_c28527	Protein FAM135A OS=Homo sapiens OX=9606 GN=FAM135A PE=1 SV=2 E(blastx)=1e-48
kb8_rep_c1477	FACT complex subunit SSRP1 OS=Ciona intestinalis OX=7719 GN=SSRP1 PE=2 SV=1 E(blastx)=9e-06
kb8_s62714	EH domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Ehd1 PE=1 SV=1 E(blastx)=3e-25
kb8_rep_c46113	ATP-dependent Clp protease adapter protein CLPS1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPLS1 PE=1 SV=1 E(blastx)=9e-10
kb8_c33795	Ubiquinone biosynthesis O-methyltransferase OS=Xanthomonas axonopodis pv. citri (strain 306) OX=190486 GN=ubiG PE=3 SV=1 E(blastx)=4e-08
kb8_rep_c51941	Major basic nuclear protein 2 OS=Crypthecodinium cohnii OX=2866 GN=HCc2 PE=4 SV=1 E(blastx)=2e-09
kb8_rep_c917	Mini-chromosome maintenance complex-binding protein OS=Xenopus tropicalis OX=8364 GN=mcmbp PE=2 SV=2 E(blastx)=9e-74
kb8_c35436	Kinase D-interacting substrate of 220 kDa OS=Rattus norvegicus OX=10116 GN=Kidins220 PE=1 SV=2 E(blastx)=5e-22
kb8_rep_c41034	Cilia- and flagella-associated protein 100 OS=Chlamydomonas reinhardtii OX=3055 GN=FAP100 PE=1 SV=1 E(blastx)=7e-06
kb8_c29940	UDP-xylose and UDP-N-acetylglucosamine transporter OS=Danio rerio OX=7955 GN=slc35b4 PE=2 SV=1 E(blastx)=5e-19
kb8_c49248	eEF1A lysine and N-terminal methyltransferase OS=Xenopus laevis OX=8355 GN=eef1aknmt PE=2 SV=1 E(blastx)=3e-07
kb8_c19895	RAP domain-containing protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RAP PE=1 SV=1 E(blastx)=8e-07
kb8_rep_c20208	Nephrocystin-3 OS=Mus musculus OX=10090 GN=Nphp3 PE=1 SV=2 E(blastx)=3e-06
kb8_s55669	Temperature-induced lipocalin-1 OS=Arabidopsis thaliana OX=3702 GN=TIL PE=1 SV=1 E(blastx)=9e-09
kb8_rep_c8319	Cilia- and flagella-associated protein 74 OS=Mus musculus OX=10090 GN=Cfap74 PE=2 SV=3 E(blastx)=8e-30
kb8_c32615	Pyridoxal reductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PLR1 PE=1 SV=1 E(blastx)=4e-08
kb8_c29169	Nodulation protein U OS=Rhizobium tropici OX=398 GN=nodU PE=3 SV=1 E(blastx)=8e-18
kb8_c9201	Vacuolar amino acid transporter 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AVT7 PE=1 SV=1 E(blastx)=6e-06
kb8_c28229	RNA-editing ligase 2, mitochondrial OS=Trypanosoma brucei brucei OX=5702 GN=REL2 PE=1 SV=1 E(blastx)=2e-11
kb8_c7066	Cilia- and flagella-associated protein 91 OS=Homo sapiens OX=9606 GN=CFAP91 PE=1 SV=3 E(blastx)=5e-96
kb8_rep_c2938	Pepsin A OS=Rhinolophus ferrumequinum OX=59479 GN=PGA PE=2 SV=1 E(blastx)=7e-54
kb8_c41796	Calcium/calmodulin-dependent protein kinase cmkB OS=Emericella nidulans OX=162425 GN=cmkB PE=1 SV=1 E(blastx)=1e-16
